Month-Year	Number	Questions	Choice A	Choice B	Choice C	Choice D	Choice E	Answer
PM B 68	296	A technician has replaced a laser printer toner cartridge, but now the output does not appear as dark as the original toner cartridge. Which of the following would be the best way to address this issue? 	Run a printer calibration	Replace the fuser	Use a laser printer maintenance kit	Clean the OPC drum	N/A	A
PM B 69	297	A system administrator has just received a laptop previously sent out for repair. However, after powering on the computer, the laptop no longer responds to the stylus. Which of the following is the MOST likely reason for this issue? 	The GPU requires an updated device driver	The display needs a new inverter	The display needs to be paired to the laptop motherboard	The digitizer is faulty	N/A	D
PM B 70	298	A graphics designer has noticed that small dots on their screen remain a solid black color, even when the image should display a different color. Which of the following would describe this issue? 	Burn-in	Non-native resolution	Incorrect data source	Dead pixel	N/A	D
PM B 71	299	A gaming enthusiast has upgraded his home computer from integrated graphics to a separate video adapter card. The computer operates as expected for web browsing and word processing applications. However, playing a game results in the system shutting down after a few minutes of operation. Which of the following would be the MOST likely component causing this issue? 	CPU	Power supply	RAM	SSD	N/A	B
PM B 72	300	A network administrator has just installed a new access point in a downtown office building, but now users are reporting intermittent connectivity to the Internet. Which of the following would be the FIRST thing to check? 	SSID broadcast option	Firmware version	MAC filter	Channel interference levels	N/A	D
PM B 73	301	A company would like to advertise a list of email servers authorized to send messages on their behalf. Which of the following would be the BEST way to provide this information?	APIPA	Proxy server	UTM	SPF record	N/A	D
PM B 74	302	A company assigns IP addresses automatically to each device, and those addresses will remain on the device for a minimum of 8 hours. Which of the following BEST describes this configuration? 	Subnet mask	Lease	SDN	Reservation	N/A	B
PM B 75	303	Users in the marketing department are reporting that one network printer is not working. There are many print jobs in the queue, but none of the jobs are printing. A test print from the printer's front panel does not print any pages. What is the MOST likely reason for this printing issue? 	Printer drivers need to be updated	Network is disconnected	Printer hardware has failed	Print spooler needs to be restarted	N/A	C
PM B 76	304	A member of the accounting department would like to work remotely while attending a conference in another city. Which of these technologies would BEST provide this functionality?	VLAN	802.11	VPN	PAN	N/A	C
PM B 77	305	In which of the following situations would you be MOST likely to use a network tap?	Attach an RJ45 connector to the end of an Ethernet cable	Capture packets from a network link	Test packet loss on a router interface	Locate a specific workstation connection on a punch-down block	N/A	B
PM B 78	306	A digital graphics department has been using a SAN to store their image files. The team now reports that all of the files on the SAN are no longer accessible. Which of the following should be the FIRST thing to check on the SAN?	RAID array status	CPU utilization	Input voltage	Cache hits	N/A	A
PM B 79	307	A network administrator is installing a new access point between buildings. Which of the following would determine the usable frequencies and maximum signal strength for this connection?	End User License Agreement	Type of data transferred	Acceptable Use Policy	Government regulations	N/A	D
PM B 81	308	A system administrator needs to upgrade the hard drives in a RAID array. Which of the following would be the BEST measurement of read and write times on the new hard drives?	S. M. A. R. T.	Jitter	IOPS	RPM	N/A	C
PM B 82	309	A user in the marketing department is printing to a color printer, but the colors on the output don't match the colors on the screen. Which of the following would be the BEST next step? 	Replace the ink or toner	Calibrate the monitor and printer	Restart the print spooler	Configure the printer for PostScript	N/A	B
PM B 83	310	A user s desktop computer does not start in the morning when the power button is pressed. A technician notices that the screen remains dark, but fans are spinning inside of the computer case. No messages are displayed and no beeps are heard. Which of the following would be the MOST likely reason for this issue? 	Faulty RAM	No boot drive found	The CPU is overheating	Bad power supply	N/A	D
PM B 84	311	A user in the shipping department needs a charging cable for their Android phone. Which of the following connectors would be the MOST likely to work on this phone?	USB-C	Lightning	RJ45	Thunderbolt	N/A	A
PM B 85	312	A company has installed a page scanner that outputs the scanned files to SMB. Which of the following would be the MOST likely destination for these scanned images?	Cloud storage	Windows share	eSATA drive	Network printer	Email inbox	B
PM B 86	313	A workstation administrator has been asked to troubleshoot an issue with Internet connectivity on a laptop computer. The network status in the taskbar shows a yellow exclamation mark with the message  No Internet access.  When examining the Ethernet connection on the laptop, the cable sheath is an inch short and individual copper wires are visibly disconnected from the RJ45 connector. Which of the following should be used to correct this issue? 	Crimper	Punch-down tool	Loopback plug	Cable tester	N/A	A
PM B 87	314	A network administrator needs to connect two sites located on opposite sides of the city. Which of these network connections would be the MOST appropriate?	MAN	PAN	LAN	WAN	N/A	A
PM B 88	315	Which of the following would be the BEST way to remove toner and paper dust from the inside of a laser printer?	Use a chemical cleaner that removes toner particles	Run a cleaning page through the printer	Wipe the inside with a damp cloth	Use compressed air to blow out the particles	N/A	C
PM B 89	316	A system administrator is connecting a remote site to the Internet over a single pair of copper wires. Which of the following is the administrator using for this installation?	PoE switch	Hub	DSL modem	ONT	N/A	C
PM B 90	317	Which of the following would most commonly be associated with a thermal pad?	Connect a heat sink to a processor	Install a fan in a desktop computer case	Mount a radiator for liquid cooling	Manage CPU speed based on the current temperature	N/A	A
PM B 91	318	A company is building an ARM-based IoT device for the consumer market. Which of the following would be an advantage of using the ARM architecture for this product?	Redundancy	High speed networking	Low power use	NAS	Load balancing	C
PM C 6	319	A system administrator has been assigned the task of installing an operating system, application, and data onto a cloud-based server. Which of these best describes this scenario? 	Infrastructure as a Service	Platform as a Service	Hybrid Cloud	Software as a Service	N/A	A
PM C 7	320	A network engineer is installing a device allowing wireless devices to access the wired Ethernet network. Which of the following would BEST describe this technology?	Hub	Managed switch	VLAN	Access point	N/A	D
PM C 8	321	A systems administrator has added a new video adapter to a desktop computer, installed the latest video driver, and rebooted the system. When the system starts, it shows a Windows Stop Error before it reaches the login prompt. Which of the following would be the BEST next troubleshooting step? 	Press F8 during startup and choose “Boot from last known working configuration”	Upgrade the system BIOS using an update file from the motherboard manufacturer	Disconnect all USB storage devices and restart the system	Reinstall the operating system	N/A	A
PM C 9	322	A system administrator is configuring a lab computer that will run five server VMs at the same time. Which of the following hardware resources will be the MOST important for this configuration?	CPU	Storage space	Video adapter	NIC	N/A	B
PM C 10	323	A user's smartphone contains both personal and corporate data. When the user attempts to install a new app, the installation is halted and an error message appears. Which of the following would be the MOST likely reason for this issue? 	NFC	Bluetooth	MDM	GPS	N/A	C
PM C 11	324	Which of the following would provide segmentation of broadcast domains on the same physical switch?	VLAN	DNS	VPN	DHCP	N/A	A
PM C 12	325	A user is reporting every page printed from a networked laser printer appears as garbled graphics and text characters. Which of the following is the MOST likely cause of this issue?	Incorrect printer driver	Damaged network cable	Printer is low on memory	Toner is low	N/A	A
PM C 13	326	During a presentation in a conference room, the lamp in an LCD projector is turning off after five minutes of use and back on ten minutes later. Which of the following would be the MOST likely reason for this issue? 	The video cable is faulty	The display lamp has failed	The cooling process is failing	The display resolution is incorrect	N/A	C
PM C 14	327	A system administrator has just completed a memory upgrade on a database server. When starting the system, this message is displayed: “Boot Device Not Found.”The BIOS configuration does not show any hard drives in the system. Which of the following would be the NEXT best troubleshooting step? 	Replace the hard drive	Upgrade the BIOS	Check the hard drive cables	Modify the BIOS boot sequence	N/A	C
PM C 15	328	If a laptop's inverter is faulty, which of the following would be the MOST likely result? 	The battery will not recharge	The system will not power on	The screen will be difficult to see	The USB interfaces will not be powered	N/A	C
PM C 16	329	What is the most common use for the switch on a computer’s power supply?	Sets the input voltage	Controls the speed of the CPU	Sets the cooling fan speed	Boots from different operating system partitions	N/A	A
PM C 17	330	Which of these devices would be used to configure an 802.1Q trunk?	Router	Repeater	Managed switch	Cable modem	N/A	C
PM C 18	331	A user in the manufacturing department would like to synchronize their cloud-based Outlook emails and calendar to their iPhone. Which of the following would be the BEST method of managing this data?	Download the email data from iCloud	Add the user's Microsoft 365 account to the iPhone	Download email information from the iPhone browser	Connect the phone to the user's laptop with USB	N/A	B
PM C 19	332	A network administrator needs to connect an Ethernet link between two buildings located across the parking lot from each other. The total distance between the buildings is approximately 400 meters. Which of the following technologies would be the BEST choice for this installation?	Coax	Category 6A	Fiber	UTP	N/A	C
PM C 20a	333	A systems administrator needs to configure a smartphone to retrieve email messages from the corporate mail server. Which of the following protocols could be configured for this purpose?	IMAP	SSH	SMTP	LDAP	N/A	A
PM C 20b	334	A systems administrator needs to configure a smartphone to retrieve email messages from the corporate mail server. Which of the following protocols could be configured for this purpose?	POP3	SSH	SMTP	LDAP	N/A	A
PM C 21	335	An administrator would like to ensure the company's mobile devices are connecting to the appropriate towers. Which of the following provides a smartphone with this information?	IP address	PRL	Phone number	IMEI	N/A	B
PM C 22	336	Which of these cloud computing architectures would BEST describe several organizations sharing the same resources?	Community	IaaS	Public	Hybrid	N/A	A
PM C 23	337	What port should be configured in a firewall to block secure terminal communication?	23	443	22	110	N/A	C
PM C 24	338	The cooling fan controller in a server is failing. The server administrator has tested possible reasons for the failures and has created a plan for correcting the issue. Which of the following would be the best NEXT troubleshooting step?	Verify the fan controller is working properly	List possible reasons for the controller failure	Present the plan to the change control team	Test for full functionality	N/A	C
PM C 25	339	A desktop administrator is troubleshooting an LCD display that shows a faint image at the bottom right of the screen. The faint image is displayed even when spreadsheets or browser screens are shown. Which of the following would be the MOST likely reason for this issue?	Dead pixels	Incorrect resolution	Bad video cable	Burn-in	N/A	D
PM C 26	340	A systems administrator is troubleshooting a Windows laptop that boots normally but becomes sluggish after login. Which of the following would provide the BEST source of troubleshooting information?	Beep codes during startup	Power supply voltages	Number of installed DIMMs	Task Manager statistics	N/A	D
PM C 27	341	A network administrator has installed a fifty meter network connection from one side of the building to the other, and now he would like to make sure that the punch-downs and crimps are connected to the correct pins on each side. Which of these tools would be the best way to confirm the wiring map? 	Network tap	Cable tester	Toner probe	Loopback plug	N/A	B
PM C 28	342	An administrator is building a new server, and they would like the server to continue operating if the power supply fails. Which of the following would provide this functionality? 	Modular power supply	High wattage rating	Redundant power supplies	LCD inverter	N/A	C
PM C 29a	343	A user in the shipping department would like to connect multiple displays to a desktop computer. Which of the following would support this requirement? (Pick TWO)	RJ45	Lightning	Fiber	HDMI	N/A	D
PM C 29b	344	A user in the shipping department would like to connect multiple displays to a desktop computer. Which of the following would support this requirement? (Pick TWO)	RJ45	Lightning	Fiber	DVI-D	N/A	D
PM C 30	345	A user is trying to charge their smartphone using the built-in USB interface, but the phone does not show the charging icon and the battery does not charge. Which of the following would be the MOST likely reason for this issue? 	No wireless connectivity	Damaged charging port	Broken screen	Digitizer not calibrated	N/A	B
PM C 31	346	A network administrator has configured a wireless network to use a 160 MHz channel width on the 5 GHz band. Which of these wireless standards is in use?	802.11n	802.11b	802.11ax	802.11g	N/A	C
PM C 32	347	A user has just replaced the filament in their printer. Which of the following would describe this printer type?	3-D	Laser	Impact	Inkjet	N/A	A
PM C 33	348	A network engineer is installing a cable modem at a remote site. Which of these connectors would commonly be found on a cable modem?	DB-9	eSATA	SCSI	F-connector	N/A	D
PM C 34	349	A technician has just upgraded the memory on a desktop computer. After the computer runs for a few minutes, the system locks up completely and does not respond to keyboard or mouse input. After rebooting, no error messages are found in Event Viewer. Which of the following would be the BEST next troubleshooting step? 	Reinstall the operating system	Upgrade the BIOS	Update device drivers	Run hardware diagnostics	N/A	D
PM C 35	350	Which of these network types would MOST likely be categorized as a WAN?	A point-to-point connection to an office in another country	A fiber connection to a building across a campus	A connection to a remote office on the other side of town	A link between a mobile device and an automobile	N/A	A
PM C 36	351	A technician is connecting two buildings using a fiber optic link. Which of these connectors would be commonly associated with  this media type?	RJ45	F	Molex	SC	N/A	D
PM C 37	352	A system administrator is configuring the IP address settings on a remote server. Which of these settings would enable the server to communicate with other devices using a fully qualified domain name?	DHCP	IP address	DNS	Subnet mask	N/A	C
PM C 38	353	Which of the following devices makes forwarding decisions based on destination IP address?	ONT	Router	Hub	Managed switch	N/A	B
PM C 39	354	A system administrator needs to test a new application simultaneously across macOS, Windows, and Linux. Which of the following would be the BEST choice for this requirement? 	Multiple partitions	SaaS	Cross-platform virtualization	High availability	N/A	C
PM C 40	355	A user in the accounting department had a new laptop delivered and installed, but they are reporting that the network throughput seems much slower than the previous computer. Which of the following would be the most likely cause of these slow transfer speeds? 	Incorrect SSID	Device is assigned an APIPA address	Incorrect gateway configuration	Duplex mismatch	N/A	D
PM C 41	356	A workstation is configured with a video card that outputs DVI-D, but it needs to connect to an LCD projector with an HDMI connection. Which of the following would be the BEST way to connect this workstation to the projector? 	DVI-D to HDMI adapter	Digital to analog converter	VGA to HDMI adapter	USB to HDMI converter	N/A	A
PM C 42	357	An Android user needs to transfer some presentations from their desktop computer to their smartphone. Which of the following would be the BEST choice?	Lightning	RJ45	USB-C	Thunderbolt	N/A	C
PM C 43	358	What type of network connection is commonly used by DSL?	Coax	Fiber optic	802.11	Twisted pair copper	N/A	D
PM C 44	359	An administrator is building a computer system to stream live corporate events. Which of the following should be installed to provide input for the live stream?	Capture card	Thermal pads	HSM	M.2	N/A	A
PM C 45	360	A system administrator has just built a new server with an eight core CPU. When viewing information in Windows Task Manager, the utility shows CPU performance for sixteen different processors. Which of the following would be the MOST likely reason for this output? 	Task Manager displays CPU input and output separately	The CPU supports multithreading	The BIOS requires an upgrade to support the newer CPU	The CPU is faulty	N/A	B
PM C 46	361	What type of proprietary Apple connector can be plugged in face up or face down?	Lightning	Thunderbolt	SATA	USB-C	N/A	A
PM C 47	362	Which of the following best describes elasticity in cloud computing?	A cloud-based application framework is used to build more complex apps	The cloud operates in an internal virtualized data center	All cloud storage is managed from a central pool	Cloud resources can scale up as needed	N/A	D
PM C 48	363	A company would like to configure a Sender Policy Framework (SPF) record in their DNS. Which of the following should be configured in the DNS server?	AAAA	TXT	MX	DKIM	N/A	B
PM C 49	364	Which of the following would be MOST commonly associated with the management interface on a switch?	ST	802.11	DB-9	Thunderbolt	N/A	C
PM C 50	365	A user has reported they can't browse to Google's search page at https://www.google.com. The workstation IP address is 192.168.1.5, the subnet mask is 255.255.255.0, the default gateway is 192.168.1.1, and the domain name servers are 10.2.2.1 and 10.2.2.2. A technician can successfully ping the local IP address, the default gateway, and Google's DNS server at 8.8.8.8. Which of the following is the most likely cause of this issue?	The Ethernet adapter's duplex setting is incorrect	The default gateway is faulty	The Internet connection is down	The DNS servers are faulty	N/A	D
PM C 51	366	A user in the facilities department is having an issue printing their blueprints to a network laser printer. When they pick up their output, the page contains specks and small dots randomly printed on the page with the final output. Which of these is the MOST likely cause of this issue? 	Network is faulty	Optical drum is not clean	The fuser is not operating	Printer is low on toner	N/A	B
PM C 52	367	A user would like to ensure all apps on their smartphone use 802.11 networking instead of the cellular network. Which of the following would provide this functionality?	Enable data caps	Use biometric authentication	Synchronize to iCloud	VPN client	N/A	A
PM C 53	368	A network administrator is installing an Ethernet cable containing gel and a ground wire. Which of the following would MOST likely describe this cable?	Plenum	Direct burial	Optical	Ethernet patch	N/A	B
PM C 54	369	A Windows computer is configured to obtain an IP address automatically. Which of the following would occur if the automatic assignment process was not working?	The IP address would be set to 0.0.0.0	A link-local address would be assigned	The Ethernet adapter would be disabled	The last known good IP address would be used	N/A	B
PM C 55	370	A web server administrator has received a notification that disk 1 in a RAID 5 array has failed. Which of the following would be the BEST next step to resolve this drive failure?	Replace disk 1 and restore from backup	Replace all drives and restore from backup	Replace all drives and rebuild the array	Replace disk 1 and rebuild the array	N/A	D
PM C 56	371	A high speed network provides access to a large array of hard drives. Which of the following would best describe this type of network?	PAN	LAN	SAN	MAN	N/A	C
PM C 57	372	A user in the accounting department is reporting that all of the printed pages from a networked laser printer are completely blank. Nothing appears to be written on any of the printed pages. Which of the following would be the MOST likely cause of this issue?	Fuser is faulty	Print drivers are incorrect	Printer out of memory	Toner cartridge is faulty	N/A	D
PM C 58	373	A systems administrator has just installed a new server in a data center. When pressing the power button, there’s no response from the server, no lights appear on the front display, and no fans are spinning. Which of the following would be the MOST likely reason for this issue? 	An operating system is not installed on the server	The power supply switch is set to the wrong input voltage	The BIOS needs to be upgraded	The keyboard and mouse are not connected	N/A	B
PM C 59	374	Which of the following services would automatically provide an IP address to any device connected to the network?	DNS	Proxy	IPS	DHCP	N/A	D
PM C 60	375	A network administrator is installing a network link containing an LC connector. Which of the following would be the MOST likely connection for this link?	Cable modem	Access point	Internet firewall	Link between buildings	N/A	D
PM C 61	376	A computer lab is purchasing supplies for their 3D printers. Which of the following should be included on this order?	Toner cartridge	Ink ribbon	Plastic filament	Ink cartridge	N/A	C
PM C 62	377	An operating system is transferring unused application data from memory to the local storage drive of the computer. Which of the following would BEST describe this memory technology?	Virtual	ECC	DDR	Parity	N/A	A
PM C 63	378	A server administrator is building a web server with three hard disk drives. The storage for the server requires the fastest possible access and redundancy is not a primary requirement. Which of the following would be the BEST choice for this server?	RAID 10	RAID 1	RAID 0	RAID 5	N/A	C
PM C 64	379	A network engineer is troubleshooting the connection of a tablet to a cellular provider’s network. Which of these would BEST describe this network connection?	Global Positioning System	Long Term Evolution	Media Access Control	Near Field Communication	N/A	B
PM C 65	380	A developer has requested a server for testing a new application. To complete this request, the system administrator logs into his cloud console and allocates a new server configuration. Which of the following BEST describes the process of creating this server? 	Metered utilization	File synchronization	High availability	Shared resources	N/A	D
PM C 66	381	Which of the following would be the most efficient method of migrating from an HDD to an SSD?	Use cloud-based backup and restore	Perform a drive-to-drive image	Install a new OS on the SSD	Use an SSD for the OS and HDD for the applications	N/A	B
PM C 67	382	A technician is installing a CPU and heat sink into a new system. Which of the following should be used with these two components?	Redundant power supply	Header	Loopback plug	Thermal pad	N/A	D
PM C 68	383	The fans on a desktop computer are not able to move enough air to keep the system cool. A technician finds a significant amount of airflow is restricted by the internal wiring inside the computer case. Which of the following would help to resolve this issue?	Modular power supply	Wireless networking	Bluetooth keyboard and mouse	Dual-channel memory	N/A	A
PM C 69	384	A user would like to connect a set of Bluetooth speakers to their smartphone. Which of the following would be required for this connection?	Pre-shared key	Biometrics	PIN	Key generation app	N/A	C
PM C 70	385	The mouse on a desktop computer has stopped operating. Which of the following would be the best NEXT troubleshooting step?	Replace the mouse	View the log files	Reinstall the mouse driver	Move the mouse to a different USB interface	N/A	B
PM C 71	386	A network administrator is viewing the interface statistics on a WAN router and has noticed that error rates are increasing. The administrator has replaced the WAN cables, but the errors continue. Which of the following tools should be used to BEST troubleshoot this issue? 	Loopback plug	Toner probe	Crimper	Cable tester	N/A	A
PM C 72	387	Which part of the laser printing process requires extensive use of printer memory?	Processing	Fusing	Transferring	Exposing	N/A	A
PM C 73	388	An administrator is trying to print some customer letters on company letterhead, but there are no messages on the printer and no pages are printing. Upon examining the queue, five print jobs are pending and waiting to print. Which of the following is the MOST likely cause of this issue? 	Tray selection in the printer driver is incorrect	The fuser is faulty	Print spooler has crashed	Printer does not support printing on letterhead	N/A	C
PM C 74	389	Walter, a hardware technician, has been asked to purchase a system to be used as a database server. One of the specifications for the server requires the system to detect and correct memory errors during operation. Which of the following would be the BEST option for this project? 	Parity memory	Single channel	ECC	SO-DIMM	N/A	C
PM C 75	390	A system administrator is replacing a cracked LCD display on a Windows laptop. Which of the following would be the MOST important component to test after this replacement?	Trackpad	Wireless network	USB devices	Primary storage drive	N/A	B
PM C 76	391	Which of the following would be MOST associated with M.2?	HDD	eSATA	RAID	SSD	N/A	D
PM C 77	392	A user in the accounting department is reporting that her smartwatch is not synchronizing with her mobile phone. The phone is powered on and unlocked, but the phone does not show the smartwatch in a list of available devices. Which of the following would MOST likely solve this issue? 	Enable NFC on the mobile phone	Disable Wi-Fi on the mobile phone	Enable Bluetooth on the mobile phone	Restart the phone and smartwatch	N/A	C
PM C 78	393	A computer used for testing high-resolution gaming displays has a high-end video adapter and DisplayPort video connection. The computer works properly for word processing and spreadsheets, but it powers down after only a few minutes of graphics testing. Which of the following would be the MOST likely reason for this issue? 	The storage drive is not fast enough for the testing application	The CPU fan is faulty	The video display is not properly connected	One of the memory modules is faulty	N/A	B
PM C 79	394	A network administrator has created a configuration that provides a server with the same IP address each time the server is started. Which of the following would BEST describe this configuration?	Link-local address	IP reservation	Default gateway	APIPA	N/A	B
PM C 80	395	A cloud-based application is distributed across multiple data centers and will continue to operate if any of the data centers have an outage. Which of the following characteristics would BEST describe this configuration?	High availability	Shared resources	File synchronization	Rapid elasticity	Metered utilization	A
PM C 81	396	A network technician is installing a new copper gigabit Ethernet connection, but when they plug in the network cable the status light indicators are dark. Which of the following would be the MOST likely status of the network connection? 	The DHCP server has not assigned an IP address	There is no signal on the Ethernet cable	The Ethernet link is running at 100 megabits per second instead of 1 gigabit per second	The primary DNS server is not responding	N/A	B
PM C 82	397	A finance manager is printing a contract designed to be printed on both sides of the page, but the printer is only providing output on one side of the paper. Which of the following options would resolve this issue? 	Badging	Tray settings	Orientation	Duplex	N/A	D
PM C 83	398	A technician is troubleshooting a mobile phone that turns off after about an hour of normal use. Before powering off, the phone displays the message, “High temperature detected.”The phone is used inside the building at room temperature, and is not used in direct sunlight. Which of the following would be the MOST likely reason for this issue? 	An app is using a large amount of CPU	The Wi-Fi network is overloaded	The battery has low voltage	The mobile phone has liquid damage	N/A	A
PM C 84	399	The help desk has received a ticket about a desktop computer reporting slow performance. It takes sixty seconds to load a file that previously took five seconds, and an ongoing clicking noise can be heard when accessing the data. The CPU and memory utilization statistics show minimal resource use. Which of the following would be the BEST next step? 	Upgrade the RAM	Replace the hard drive	Upgrade the BIOS	Boot to Safe Mode	Upgrade the power supply	B
PM C 85	400	A user in the marketing department was using their computer to send some email messages. The computer made an unexpected loud pop and immediately powered down. The computer would not respond to additional attempts to power it back on. Which of the following would be the MOST likely cause of this issue?	Incorrect video refresh rate	Faulty capacitor	Incomplete software update	Bad memory module	N/A	B
PM C 86	401	A manager in the shipping department needs to connect their laptop to wireless portable speakers while in the office. Which of these should be configured on their laptop?	Tethering	Bluetooth	NFC	IR	N/A	B
PM C 87	402	A technician has two hard disk drives that need to be configured redundantly, and all information should be duplicated across physical drives. Which of the following should be configured? 	RAID 5	RAID 1	Dynamic disks	RAID 0	N/A	B
PM C 88	403	A system administrator has connected a desktop computer to a new LCD. After connecting the monitor, all of the desktop icons and windows appear oversized and the display appears to be fuzzy and out of focus. Which of the following would be the BEST way to correct this issue? 	Modify the display resolution	Use a different LCD display	Replace the monitor cable	Restart the desktop computer	N/A	A
PM C 89	404	The camera on a user's smartphone works properly when at home, but the user is not able to take pictures while at their desk at work. Which of the following would be the MOST likely reason for this issue? 	NFC	Biometrics	Bluetooth pairing	MDM	N/A	D
PM C 90	405	A system administrator is installing a new LCD projector in the company conference room. Which of the following would MOST likely be used with this projector?	Lightning	UTP	Coaxial	HDMI	N/A	D
December 2024	406	A technician has installed a new monitor, but they notice a persistant single black pixel near the middle of the screen. Which of the following would be the best way to fix this issue?	Update the driver	Modify the refresh rate	Power cycle the display	Replace the monitor	Change the default resolution	D
December 2024	407	A user in the marketing department would like to add a @hotmail.com address to their mobile device. Which of the following configurations would be the best choice?	iCloud	Pop3	Gmail	IMAP	Outlook.com	E
December 2024	408	A user is able to ping IP addresses on their own subnet, but cannot ping any IP address outside of their local network. Which of the following would be the most likely reason for this issue?	Incorrect default gateway	IPv6 is disabled	Duplicate IP address	Incorrect DNS address	Incorrect date and time setting	A
December 2024	409	Two physical drives have failed in a RAID array, but the data in the array is still available to the users. Which of the following is used in this array?	RAID 0	RAID 5	RAID 1+0	RAID 1	N/A	C
December 2024	410	A user in the manufacturing department reports that every page printed from the central networked laser printer has a single black line extending from the top of the page to the bottom. Which of the following is the MOST likely cause of this issue?	The fuser is damaged	The printer language is not properly configured	The photosensitive drum is damaged	The toner is low	N/A	A
